gene_id,gene_name,Med8,Med17
YJR058C,APS2,12949.41,12429.37833
YJR059W,PTK2,12949.41,12429.37833
YJR103W,URA8,4900.003333,2300.891667
YJR104C,SOD1,8346.14,5190.635
YJR105W,ADO1,7354.365,5190.635
YJR109C,CPA2,26345.42833,15084.84833
YJR110W,YMR1,26345.42833,15084.84833
YJR113C,RSM7,15608.23,12625.69167
YJR115W,YJR115W,14972.00167,10796.92333
YJR123W,RPS5,8991.35,4781.076667
YJR127C,RSF2,23892.39333,19039.54833
YJR146W,YJR146W,8854.151667,6075.631667
YJR147W,HMS2,8854.151667,6075.631667
YJR148W,BAT2,3947.473333,2107.365
YKL006W,RPL14A,3410.786667,2484.953333
YKL007W,CAP1,5118.661667,2044.945
YKL008C,LAC1,5509.305,2061.53
YKL015W,PUT3,3885.995,3228.728333
YKL016C,ATP7,4451.4,3228.728333
YKL029C,MAE1,10198.35333,4406.255
YKL032C,IXR1,51558.98667,20961.80667
YKL035W,UGP1,36104.9,14728.35333
YKL037W,AIM26,37461.245,20519.915
YKL039W,PTM1,5687.628333,3294.41
YKL040C,NFU1,5499.503333,2952.658333
YKL043W,PHD1,20208.46667,2760.896667
YKL044W,YKL044W,25259.82333,6272.97
YKL051W,SFK1,18460.63333,8727.03
YKL054C,DEF1,10412.27333,5653.351667
YKL056C,TMA19,7107.148333,2915.406667
YKL060C,FBA1,94212.21,56906.15167
YKL062W,MSN4,10554.62167,5746.075
YKL063C,YKL063C,16210.24333,6629.398333
YKL064W,MNR2,13509.4,5198.395
YKL065C,YET1,14180.60833,8750.471667
YKL068W,NUP100,5171.506667,1564.691667
YKL068W-A,YKL068W-A,2928.276667,403.5333333
YKL085W,MDH1,3943.911667,2747.381667
YKL096W-A,CWP2,3150.915,992.18
YKL103C,APE1,4650.003333,2156.641667
YKL104C,GFA1,8689.681667,5486.391667
YKL109W,HAP4,64295.33167,36676.64167
YKL116C,PRR1,6267.296667,2485.618333
YKL117W,SBA1,4000.018333,2154.071667
YKL120W,OAC1,4839.61,2849.545
YKL127W,PGM1,3806.013333,1770.741667
YKL141W,SDH3,4151.611667,2207.165
YKL142W,MRP8,7337.233333,5592.055
YKL146W,AVT3,5472.836667,3695.191667
YKL148C,SDH1,5798.633333,2141.185
YKL150W,MCR1,14366.23667,9840.066667
YKL151C,YKL151C,14431.48333,9886.911667
YKL152C,GPM1,90401.60833,88466.225
YKL164C,PIR1,23538.79,23961.55667
YKL182W,FAS1,23973.075,11151.53667
YKL186C,MTR2,14483.42167,6191.923333
YKL198C,PTK1,8731.663333,6961.331667
YKL210W,UBA1,6219.958333,2489.263333
YKL211C,TRP3,5943.521667,2470.393333
YKR013W,PRY2,4462.06,2120.251667
YKR039W,GAP1,5560.153333,4278.208333
YKR052C,MRS4,6174.525,2487.818333
YKR061W,KTR2,7877.678333,5110.235
YKR068C,BET3,7829.263333,2220.998333
YKR069W,MET1,7743.85,2561.545
YKR071C,DRE2,5910.346667,1826.843333
YKR075C,YKR075C,13109.10833,5571.921667
YKR093W,PTR2,57132.94333,24976.95
