gene,gene_name,TATA,class,tail-dependence,expression,Spt7,Taf13,Med15
YGR099W,TEL2,,TFIID,tail-independent,8.378280877,-1.238386622,-2.179697844,-0.147553853
YKR078W,YKR078W,,TFIID,tail-independent,8.369840266,-0.194159046,-3.295002838,0.325839607
YLL035W,GRC3,TATA-less,TFIID,tail-independent,8.362507526,-1.048418676,-2.684131322,0.238141058
YLR016C,PML1,TATA-less,TFIID,tail-independent,8.355037571,-0.701614304,-2.24693789,-0.012645738
YLR324W,PEX30,,TFIID,tail-independent,8.352487071,-0.663806214,-2.59325693,0.008981153
YKR020W,VPS51,,TFIID,tail-independent,8.349094557,-1.101599569,-2.615229797,-0.058052668
YKL207W,EMC3,,TFIID,tail-independent,8.341847197,-0.861346897,-2.86761379,0.024614547
YOL102C,TPT1,TATA-less,TFIID,tail-independent,8.341560842,-0.609861721,-2.635415048,0.121754191
YCR087C-A,YCR087C-A,TATA-less,TFIID,tail-independent,8.339581803,-1.459964864,-3.213573802,0.752095119
YLR001C,YLR001C,TATA-less,TFIID,tail-independent,8.31945341,-0.236150611,-2.339777677,-0.058320738
YDR198C,RKM2,TATA-less,TFIID,tail-independent,8.317823066,-0.702465803,-2.510262829,0.456600722
YDR415C,YDR415C,TATA-less,TFIID,tail-independent,8.314585531,-0.757438423,-2.518211695,0.020712709
YDR475C,JIP4,TATA-less,TFIID,tail-independent,8.311938001,-1.083854952,-3.106545982,0.057445244
YDR421W,ARO80,,TFIID,tail-independent,8.304588373,-0.619626568,-3.137363935,0.119223802
YDR265W,PEX10,TATA-less,TFIID,tail-independent,8.304283607,-1.246350637,-2.591719239,0.221334029
YMR207C,HFA1,,TFIID,tail-independent,8.300586632,-0.810150186,-2.826423958,0.119241083
YNL328C,MDJ2,TATA-less,TFIID,tail-independent,8.296325648,-1.802254197,-2.80561276,-0.158759084
YHR078W,YHR078W,TATA-less,TFIID,tail-independent,8.29610809,-0.798691635,-1.974955831,0.253413328
YDL165W,CDC36,,TFIID,tail-independent,8.292457804,-1.027132571,-2.310749054,-0.029431088
YNR010W,CSE2,,TFIID,tail-independent,8.29088619,-0.728177434,-2.505774409,0.027369019
YJR035W,RAD26,,TFIID,tail-independent,8.288524774,-0.286485831,-2.31051724,0.226335503
YHR057C,CPR2,,TFIID,tail-independent,8.280014286,-1.096752646,-2.114050298,0.179118991
YKL005C,BYE1,TATA-less,TFIID,tail-independent,8.275082515,-0.703013933,-1.883284513,0.143068437
YBR204C,LDH1,,TFIID,tail-independent,8.268139078,-0.707796333,-2.776888926,-0.024632812
YOL066C,RIB2,,TFIID,tail-independent,8.263999338,-1.208088149,-2.866846362,0.099938267
YIL083C,CAB2,TATA-less,TFIID,tail-independent,8.256837303,-0.902298987,-2.702768362,0.47527661
YGR102C,GTF1,TATA-less,TFIID,tail-independent,8.255689949,-1.054363571,-2.138896261,0.251662333
YCL056C,PEX34,TATA-less,TFIID,tail-independent,8.246019036,-0.162200824,-3.571409976,0.321928095
YJR033C,RAV1,,TFIID,tail-independent,8.240579796,-0.879528745,-2.409833323,-0.130000285
YBR044C,TCM62,,TFIID,tail-independent,8.229193171,-0.729015318,-2.257959191,0.148994344
YPL170W,DAP1,TATA-less,TFIID,tail-independent,8.221920145,-0.656754502,-2.072864639,0.003556065
YJL139C,YUR1,TATA-less,TFIID,tail-independent,8.211937869,-0.814168051,-4.009153239,0.236352363
YCR052W,RSC6,TATA-less,TFIID,tail-independent,8.211267276,-1.48669601,-3.169195099,0.072657744
YIL092W,YIL092W,,TFIID,tail-independent,8.207856714,-0.641799941,-2.749154062,0.273402895
YPR017C,DSS4,TATA-less,TFIID,tail-independent,8.206271588,-0.68106673,-2.687038281,-0.019769142
YLR176C,RFX1,TATA-less,TFIID,tail-independent,8.205120553,-1.177090399,-2.819909271,0.186738256
YML104C,MDM1,TATA-less,TFIID,tail-independent,8.204661281,-0.894589967,-2.371744707,0.005969324
